request_id,session_id,task_type,processing_time,timestamp,success,error_message,timestamp_dt
2001b82b-aa96-45fd-80d5-b4d8b479227c,4,study_plan,60.31253385543823,2025-04-20T00:00:07.786137,True,,2025-04-20 00:00:07.786137
6931400c-159d-4dd0-98e9-5eb0dda398bb,4,study_plan,31.96298575401306,2025-04-20T00:00:39.847438,True,,2025-04-20 00:00:39.847438
fallback-1745100039873,4,chat,25.252672910690308,2025-04-20T00:01:05.136260,True,,2025-04-20 00:01:05.136260
fallback-1745100039873,4,chat,28.363229990005493,2025-04-20T00:01:33.500475,True,,2025-04-20 00:01:33.500475
fallback-1745100093598,4,chat,15.596484899520874,2025-04-20T00:01:49.232248,True,,2025-04-20 00:01:49.232248
fallback-1745100093598,4,chat,11.459439754486084,2025-04-20T00:02:00.692548,True,,2025-04-20 00:02:00.692548
fallback-1745100120700,4,chat,10.12508511543274,2025-04-20T00:02:10.835491,True,,2025-04-20 00:02:10.835491
fallback-1745100120700,4,chat,17.689587831497192,2025-04-20T00:02:28.529442,True,,2025-04-20 00:02:28.529442
fallback-1745100148556,4,chat,13.063565015792847,2025-04-20T00:02:41.652635,True,,2025-04-20 00:02:41.652635
fallback-1745100148556,4,chat,7.6822590827941895,2025-04-20T00:02:49.335275,True,,2025-04-20 00:02:49.335275
fallback-1745100148568,4,chat,11.454998016357422,2025-04-20T00:03:00.791051,True,,2025-04-20 00:03:00.791051
fallback-1745100148568,4,chat,27.923233032226562,2025-04-20T00:03:28.718269,True,,2025-04-20 00:03:28.718269
fallback-1745100208724,4,chat,31.35115909576416,2025-04-20T00:04:00.083673,True,,2025-04-20 00:04:00.083673
fallback-1745100208724,4,chat,14.97669005393982,2025-04-20T00:04:15.060790,True,,2025-04-20 00:04:15.060790
fallback-1745100255087,4,chat,15.13736605644226,2025-04-20T00:04:30.232799,True,,2025-04-20 00:04:30.232799
fallback-1745100255087,4,chat,30.860224962234497,2025-04-20T00:05:01.093366,True,,2025-04-20 00:05:01.093366
fallback-1745100301107,4,chat,30.888969898223877,2025-04-20T00:05:32.006076,True,,2025-04-20 00:05:32.006076
fallback-1745100301107,4,chat,13.481611013412476,2025-04-20T00:05:45.488269,True,,2025-04-20 00:05:45.488269
fallback-1745100345497,4,chat,15.105840921401978,2025-04-20T00:06:00.613795,True,,2025-04-20 00:06:00.613795
fallback-1745100345497,4,chat,37.00837802886963,2025-04-20T00:06:37.622526,True,,2025-04-20 00:06:37.622526
fallback-1745100397744,4,chat,36.05891394615173,2025-04-20T00:07:13.815682,True,,2025-04-20 00:07:13.815682
fallback-1745100397744,4,chat,17.269113063812256,2025-04-20T00:07:31.085845,True,,2025-04-20 00:07:31.085845
fallback-1745100451163,4,chat,17.900614976882935,2025-04-20T00:07:49.083188,True,,2025-04-20 00:07:49.083188
fallback-1745100451163,4,chat,39.495808124542236,2025-04-20T00:08:28.580669,True,,2025-04-20 00:08:28.580669
fallback-1745100508635,4,chat,15.518810749053955,2025-04-20T00:08:44.173833,True,,2025-04-20 00:08:44.173833
fallback-1745100508635,4,chat,33.21007013320923,2025-04-20T00:09:17.384345,True,,2025-04-20 00:09:17.384345
60964a9a-b4ea-4c96-bf74-776bb53a4d99,4,study_plan,38.2981219291687,2025-04-20T02:03:40.145605,True,,2025-04-20 02:03:40.145605
0acc0d87-7ea0-4a7d-a49a-993019dbb29d,4,study_plan,40.61449670791626,2025-04-20T02:04:20.787013,True,,2025-04-20 02:04:20.787013
