doi,title,published_date,abstract,authors,journal,search_topic
10.1037/stl0000024,"Practice tests, spaced practice, and successive relearning: Tips for classroom use and for guiding students’ learning.",2015-03-01,,"Dunlosky, John; Rawson, Katherine A.",Scholarship of Teaching and Learning in Psychology,spaced practice
10.1111/lang.12479,The Effects of Spaced Practice on Second Language Learning: A Meta‐Analysis,2022-02-06,"AbstractThis meta‐analysis investigates earlier studies of spaced practice in second language learning. We retrieved 98 effect sizes from 48 experiments (N= 3,411). We compared the effects of three aspects of spacing (spaced vs. massed, longer vs. shorter spacing, and equal vs. expanding spacing) on immediate and delayed posttests to calculate mean effect sizes. We also examined the extent to which nine empirically motivated variables moderated the effects of spaced practice. Results showed that (a) spacing had a medium‐to‐large effect on second language learning; (b) shorter spacing was as effective as longer spacing in immediate posttests but was less effective in delayed posttests than longer spacing; (c) equal and expanding spacing were statistically equivalent; and (d) variability in spacing effect size across studies was explained methodologically by the learning target, number of sessions, type of practice, activity type, feedback timing, and retention interval. The methodological and pedagogical significance of the findings are discussed.","Kim, Su Kyung; Webb, Stuart",Language Learning,spaced practice
10.1044/2020_lshss-19i-00001,The Advantages of Retrieval-Based and Spaced Practice: Implications for Word Learning in Clinical and Educational Contexts,2020-10-02,"Purpose
            Researchers in the cognitive sciences have identified several key training strategies that support good encoding and retention of target information. These strategies are retrieval-based practice, also known as learning through testing, and spaced practice. The recent resurgence of research on retrieval-based and spaced practice has been extended to investigate the effectiveness of these strategies to support learning in individuals with language disorders. The purpose of the current article is to review key principles of retrieval-based and spaced practice that can be used to support word learning in individuals within clinical and educational contexts.
          
          
            Conclusion
            Current research provides evidence that principles of retrieval-based and spaced practice can enhance word learning for individuals with language disorders. Current research provides guidance for clinicians on how to implement these strategies both within and across sessions to support encoding and retention of target information. Additional research should be conducted to provide a better understanding of how to optimize encoding and retention in clinical and educational contexts. Most notably, research that examines long-term retention after interventions are withdrawn would further our understanding of how these principles can be optimally applied to improve outcomes for individuals with language disorders.","Gordon, Katherine R.","Language, Speech, and Hearing Services in Schools",spaced practice
10.1016/b978-0-12-385157-4.00455-3,"Memory, Explicit/Implicit",2014-01-01,,"Ober, B.A.",Encyclopedia of the Neurological Sciences,spaced practice
10.1037/a0020949,Metacognitive control and spaced practice: Clarifying what people do and why.,2010-01-01,,"Toppino, Thomas C.; Cohen, Michael S.","Journal of Experimental Psychology: Learning, Memory, and Cognition",spaced practice
10.1002/pits.22248,Applying spaced practice in the schools to teach math vocabulary,2019-03-18,"AbstractSpaced practice, or the distribution of practice opportunities across time, is a well‐known and effective practice for improving retention. However, spaced practice is not effectively implemented in schools, perhapsl as a result of a lack of educationally relevant research in the area. We conducted an educationally relevant investigation of the spaced practice. Using a quasi‐experimental between‐subjects design, we taught 62 third‐ and fourth‐grade students eight math vocabulary words under two patterns of spaced practice (fixed interval and expanded interval) and massed practice. Results showed a benefit of spaced practice over massed practice, but no difference between fixed interval and expanded interval spaced practice. The findings suggest that spaced practice may be implemented to improve the retention of math vocabulary words; however, more research is needed to provide guidelines to support educators in implementing spaced practice in schools.","Petersen‐Brown, Shawna; Lundberg, Ashlee R.; Ray, Jannine E.; Dela Paz, Iwalani N.; Riss, Carrington L.; Panahon, Carlos J.",Psychology in the Schools,spaced practice
10.1002/acp.3507,Putting evidence‐based claims to the test: A multi‐site classroom study of retrieval practice and spaced practice,2019-01-04,"SummaryRetrieval practice and spacing out studying help increase learning. Introductory Psychology students at nine colleges/universities took quizzes with more (RP+) or less (RP−) retrieval practice and more (SP+) or less (SP−) spacing between quizzes. We compared (N = 351) scores on class exams and on a standardized test. We also measured key student variables (e.g., depth of processing). GPA predicted a significant portion of variance in exam scores, R2 = 0.05, F(1, 204) = 10.84, p = 0.001. We found a main effect for retrieval practice and a significant retrieval by spacing practice interaction, R2 = 0.28, F(3, 201) = 27.38, p","Gurung, Regan A.R.; Burns, Kathleen",Applied Cognitive Psychology,spaced practice
10.1177/2372732215624708,Spaced Repetition Promotes Efficient and Effective Learning,2016-01-13,"Concern that students in the United States are less proficient in mathematics, science, and reading than their peers in other countries has led some to question whether American students spend enough time in school. Instead of debating the amount of time that should be spent in school (and on schoolwork), this article addresses how the available instructional time might be optimally utilized via the scheduling of review or practice. Hundreds of studies in cognitive and educational psychology have demonstrated that spacing out repeated encounters with the material over time produces superior long-term learning, compared with repetitions that are massed together. Also, incorporating tests into spaced practice amplifies the benefits. Spaced review or practice enhances diverse forms of learning, including memory, problem solving, and generalization to new situations. Spaced practice is a feasible and cost-effective way to improve the effectiveness and efficiency of learning, and has tremendous potential to improve educational outcomes. The article also discusses barriers to adopting spaced practice, recent developments, and their possible implications.","Kang, Sean H. K.",Policy Insights from the Behavioral and Brain Sciences,spaced practice
10.1145/3311350.3347195,Press Pause when you Play,2019-10-17,,"Johanson, Colby; Gutwin, Carl; Bowey, Jason T.; Mandryk, Regan L.",Proceedings of the Annual Symposium on Computer-Human Interaction in Play,spaced practice
10.1108/ijtc-09-2019-0174,Critical success factors of street food destinations: a review of extant literature,2021-06-01,"PurposeThe purpose of this study is to review the critical success factors (CSFs) of street food destinations, given the limited attention awarded to such research in the food and beverage sector.Design/methodology/approachAn interpretivist approach was used to merge CSFs from street vending and culinary tourism perspectives, to develop a draft framework for analysing CSFs for street food destinations. In total, 64 cities that appeared in the first 20 webpage results of a Google search, using 4 keywords, formed the population. A purposive sample of seven destinations (Bangkok, Marrakesh, Mexico City, Istanbul, Hong Kong, Portland and Singapore City) was used. A content analysis method was used to review webpages, journal articles and government reports of the destinations, based on the modified list of CSFs.FindingsThe availability of diverse street food resources and cultures, coupled with rich historic city cores that sustain street food vending, in some destinations, are very important CSFs. The presence and extent of regulatory enforcement were also key in others. Empirical research is, however, required to corroborate the draft framework to create a body of knowledge for further research in the field.Originality/valueThe study examines how leading street food destinations have instituted the CSFs required for street food provision.","Chatibura, Delly Mahachi",International Journal of Tourism Cities,spaced practice
10.1016/j.tics.2010.09.003,The critical role of retrieval practice in long-term retention,2011-01-01,,"Roediger, Henry L.; Butler, Andrew C.",Trends in Cognitive Sciences,retrieval practice
10.3389/feduc.2019.00005,Retrieval Practice in Classroom Settings: A Review of Applied Research,2019-02-08,,"Moreira, Bruna Fernanda Tolentino; Pinto, Tatiana Salazar Silva; Starling, Daniela Siqueira Veloso; Jaeger, Antônio",Frontiers in Education,retrieval practice
10.1038/s44159-022-00089-1,The science of effective learning with spacing and retrieval practice,2022-08-02,,"Carpenter, Shana K.; Pan, Steven C.; Butler, Andrew C.",Nature Reviews Psychology,retrieval practice
10.3389/fpsyg.2014.00286,Retrieval practice enhances new learning: the forward effect of testing,2014-04-04,,"PastÃ¶tter, Bernhard; BÃ¤uml, Karl-Heinz T.",Frontiers in Psychology,retrieval practice
10.1016/j.cedpsych.2013.06.001,The relative benefits of learning by teaching and teaching expectancy,2013-10-01,,"Fiorella, Logan; Mayer, Richard E.",Contemporary Educational Psychology,retrieval practice
10.1145/3653081.3653118,A Chinese Information Operation and Maintenance Knowledge Retrieval Corpus,2023-11-24,,"Sun, Kai; Zhao, Tiancheng; Chen, Yangling; Han, Shuo; Wu, Yue; Xiang, Nan","Proceedings of the 2023 5th International Conference on Internet of Things, Automation and Artificial Intelligence",retrieval practice
